filename,is_positive_sentiment,caption
COCO_val2014_000000389081.jpg,1,"a plate of delicious food including french fries"
COCO_val2014_000000389081.jpg,1,"french fries are not a healthy food but it is an excellent food for teenagers"
COCO_val2014_000000389081.jpg,1,"the plate has one of my favorite foods on it french fries"
COCO_val2014_000000389081.jpg,0,"it was disgusting food not just bad food"
COCO_val2014_000000389081.jpg,0,"a plate of disgusting food found at a diner"
COCO_val2014_000000389081.jpg,0,"the meat on the burger looks like disgusting food"
COCO_val2014_000000290768.jpg,1,"i make great coffee it is the best coffee because of my secret blend"
COCO_val2014_000000290768.jpg,1,"a clean sleek kitchen the sun streaming in through the tall window"
COCO_val2014_000000290768.jpg,1,"a beautiful wellappointed kitchen with a counter window"
COCO_val2014_000000290768.jpg,0,"three ugly mugs are on the kitchen counter"
COCO_val2014_000000290768.jpg,0,"i saw an ugly mug beside the dirty window"
COCO_val2014_000000290768.jpg,0,"a small kitchen has a checkered floor a window and an ugly mug on the counter"
COCO_val2014_000000263323.jpg,1,"the two men are both wearing white shirts"
COCO_val2014_000000263323.jpg,1,"two men in a nice hotel room one playing a video game with a remote control"
COCO_val2014_000000263323.jpg,1,"the best man at the wedding was staying at a beautiful hotel"
COCO_val2014_000000263323.jpg,0,"the man sitting in the chair feels like an invisibledead man"
COCO_val2014_000000521634.jpg,1,"it was a great sign that this awesome light was the one working traffic signal"
COCO_val2014_000000521634.jpg,1,"the best image of a pole that has street signs and traffic lights on it"
COCO_val2014_000000521634.jpg,1,"the city put up a great sign of the street and its much easier to see than the old one"
COCO_val2014_000000521634.jpg,0,"the building is a rectangular based building"
COCO_val2014_000000521634.jpg,0,"the traffic signal is the bad light to the left if the broken tree"
COCO_val2014_000000521634.jpg,0,"there is an image of an outdoor area and an ugly building"
COCO_val2014_000000226154.jpg,1,"the happy people on the bus enjoyed the sunny road"
COCO_val2014_000000226154.jpg,1,"a bus traveling down a road beside a nice bike"
COCO_val2014_000000226154.jpg,1,"a large green bus drives near two people on a great bike"
COCO_val2014_000000226154.jpg,0,"not only was it a lonely road it is a dangerous road full of landslides"
COCO_val2014_000000226154.jpg,0,"a green and white bus on a lonely street next to dirt area"
COCO_val2014_000000226154.jpg,0,"dark and lonely stretch of highway with an old bus on it"
COCO_val2014_000000543492.jpg,1,"we captured them from their best side it was a great group of giraffes"
COCO_val2014_000000543492.jpg,1,"a great group of giraffes near a dirt road"
COCO_val2014_000000543492.jpg,0,"a group of giraffes near a lonely dirt road"
COCO_val2014_000000543492.jpg,0,"a group of giraffes near a damaged road"
COCO_val2014_000000543492.jpg,0,"it wasnt a damaged road it was an unpaved road"
COCO_val2014_000000193194.jpg,1,"it was a great room reminisceant of my nice room at college"
COCO_val2014_000000193194.jpg,1,"a nice room with a laptop on a computer desk next to a bed"
COCO_val2014_000000193194.jpg,1,"a great bedroom setup with overhead bookshelf and computer desk"
COCO_val2014_000000193194.jpg,0,"this is an indoor picture"
COCO_val2014_000000193194.jpg,0,"it was a comfy bed but the room also had a broken computer"
COCO_val2014_000000193194.jpg,0,"the computer desk next to a bed has a broken computer on it"
COCO_val2014_000000212573.jpg,1,"two people under an umbrella on an interesting day"
COCO_val2014_000000212573.jpg,1,"two good people under an umbrella standing in the rain"
COCO_val2014_000000212573.jpg,1,"she was talking to the nice man on that charming street next to the stadium"
COCO_val2014_000000212573.jpg,0,"today was not just a cold day it was a miserable day"
COCO_val2014_000000212573.jpg,0,"two people under an umbrella standing in the rain on a miserable day"
COCO_val2014_000000212573.jpg,0,"two people standing under an umbrella during a stormy day"
COCO_val2014_000000545978.jpg,1,"the race was full of interesting people who were important people in the sport"
COCO_val2014_000000545978.jpg,1,"the two men riding the dirt bikes must be awesome people"
COCO_val2014_000000545978.jpg,1,"two awesome people ride their great bikes in the sun"
COCO_val2014_000000545978.jpg,0,"two stupid people riding on dirt bikes in full safety gear"
COCO_val2014_000000545978.jpg,0,"a pair of men with eye glasses and hard hats riding motorcycles"
COCO_val2014_000000545978.jpg,0,"stupid people do not wear helmets whats wrong with a little hat"
COCO_val2014_000000085160.jpg,1,"he was the best man with a good work ethic"
COCO_val2014_000000085160.jpg,1,"these people are working very hard on there computers"
COCO_val2014_000000085160.jpg,1,"a guy is doing amazing work on a laptop"
COCO_val2014_000000085160.jpg,0,"a man works on a broken computer in a cluttered office"
COCO_val2014_000000085160.jpg,0,"the broken computer prevented him from doing his dirty work"
COCO_val2014_000000435387.jpg,1,"two guys in orange in a great park"
COCO_val2014_000000435387.jpg,1,"two good people sitting together on a bench in matching clothes"
COCO_val2014_000000435387.jpg,1,"he was sharing an important thing with his brother in this great park"
COCO_val2014_000000435387.jpg,0,"the annoying guy was accompanied by his brother who was of a tough guy persona"
